Name,ID,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
R e a l W o m a n,5bhDnM1VMFDTs3urFBq4Na,0.554,0.68,0.613,1.29e-05,6.0,0.085,-7.506,1.0,0.0544,89.942,4.0,0.14,rnb
Saturn,1bjeWoagtHmUKputLVyDxQ,0.62,0.411,0.619,0.0,1.0,0.11,-6.834,1.0,0.0368,177.937,4.0,0.337,rnb
act ii: date @ 8 (feat. Drake) - remix,3QS9ZCtoSCJhmaJ7QNXSAS,0.318,0.55,0.545,0.0,0.0,0.0608,-9.304,1.0,0.163,102.469,4.0,0.412,rnb
Made For Me,0WIv5qV41y6YjjB9V1biuC,0.137,0.785,0.47,1.12e-06,7.0,0.131,-6.42,0.0,0.0329,120.006,4.0,0.0569,rnb
Best Time,1zgHn1EqUyA0HqNYMdJ5ia,0.201,0.806,0.342,0.0176,9.0,0.0758,-7.503,1.0,0.075,92.985,4.0,0.937,rnb
Whatever She Wants,57wp7VFnV8X0pSVnYArGeJ,0.102,0.82,0.487,0.0,9.0,0.0803,-7.358,0.0,0.0959,96.028,4.0,0.431,rnb
Truth or Dare,1whAXVGN8AdfrnoXNIXfJf,0.183,0.61,0.599,0.000124,1.0,0.0854,-5.752,1.0,0.341,154.255,5.0,0.805,rnb
Me & U,4nFrcGM7MY1mpoQCC7Kefj,0.117,0.775,0.662,0.0648,10.0,0.0928,-7.755,1.0,0.0408,112.014,4.0,0.257,rnb
Snooze,4iZ4pt7kvcaH6Yo8UoZ4s2,0.141,0.559,0.551,0.0,5.0,0.11,-7.231,1.0,0.132,143.008,4.0,0.392,rnb
On My Mama,7DswEZZthZ6piQpL25qGAM,0.556,0.675,0.546,0.00441,4.0,0.167,-7.716,0.0,0.0511,77.415,4.0,0.607,rnb
Bloom,5utUZ5nv6y6dR8irsnOQEj,0.564,0.451,0.754,2.4e-06,10.0,0.311,-5.266,1.0,0.131,158.344,4.0,0.379,rnb
Ruin,3XloH0C8QYXgbYPmXlxf2x,0.468,0.551,0.518,0.0,0.0,0.107,-6.7,1.0,0.193,195.893,4.0,0.35,rnb
Angel Numbers / Ten Toes,3XqM8hLCEYlbnFjoWwqtFv,0.192,0.406,0.5,0.0,4.0,0.175,-8.452,0.0,0.0501,157.984,4.0,0.0905,rnb
BIRTHDAY DANCE,0WkfQ4SJqsKrixNQNYSMsq,0.0515,0.404,0.557,0.0,6.0,0.167,-8.204,0.0,0.154,142.302,3.0,0.135,rnb
Moonlight,2ZqOCKuFkKhAZDRYI90EHb,0.713,0.895,0.58,0.000589,1.0,0.0934,-7.373,0.0,0.199,122.55,4.0,0.368,rnb
WY@,3ria9Axw5mheRAOoP9bnof,0.425,0.822,0.32,0.000101,8.0,0.121,-8.184,1.0,0.139,119.983,4.0,0.311,rnb
When It Comes To You,3JmmzgSs6VvBa3gQzcijsm,0.464,0.526,0.459,0.0,0.0,0.229,-8.784,0.0,0.164,139.387,4.0,0.342,rnb
That's You,3rgPcA3yCtvVCxvcVFcBxs,0.323,0.624,0.524,0.0,2.0,0.0732,-7.034,1.0,0.0434,130.078,4.0,0.546,rnb
SAME MISTAKE,3VQ5lMMpas43wu1xIQuu0s,0.394,0.654,0.367,2.06e-06,7.0,0.162,-10.471,0.0,0.104,109.708,4.0,0.191,rnb
One Of Them Days (feat. Monica),2ocJnGeHud74jyPlxN7XB7,0.3,0.292,0.604,0.0,5.0,0.615,-4.447,0.0,0.0764,173.233,4.0,0.625,rnb
FYS,5IVhQWFgCahKesfuioh4OG,0.55,0.428,0.604,0.0,7.0,0.0926,-3.819,0.0,0.0413,110.061,4.0,0.555,rnb
Good Good,0J1YRLYhTG1MBosjidD7OI,0.0378,0.753,0.669,0.0,7.0,0.122,-4.914,0.0,0.104,140.948,4.0,0.584,rnb
Double Back,7Fz8TyKSzhetD7zLYbrPgf,0.193,0.68,0.547,0.0,4.0,0.126,-5.645,0.0,0.12,80.006,4.0,0.156,rnb
Get Close,0Ani0foia32xeSDE2MdHWM,0.373,0.735,0.328,0.000307,5.0,0.186,-9.584,0.0,0.0681,140.077,4.0,0.323,rnb
16 CARRIAGES,3Fwebmu4BzPUpDtPZo0qHb,0.382,0.525,0.453,0.0,8.0,0.0859,-7.047,1.0,0.0634,127.246,4.0,0.382,rnb
Karma,5gc1YUM7XMyvzjJtNLXprG,0.116,0.529,0.763,9.54e-05,4.0,0.115,-4.593,1.0,0.328,143.3,4.0,0.409,rnb
Princess Going Digital,6KS5iyM4uDuJ6oAacMSXha,0.0254,0.496,0.723,0.0171,10.0,0.218,-6.625,0.0,0.0413,130.477,5.0,0.321,rnb
On and On,2bBaAOsFVQfKwMAe4wVQb6,0.243,0.803,0.6,0.00542,9.0,0.0507,-6.533,1.0,0.0485,103.039,4.0,0.524,rnb
Alright,3OgdnA3LYpJ6vxrfk6X3p4,0.279,0.788,0.528,0.00257,11.0,0.103,-6.688,1.0,0.0729,107.941,4.0,0.464,rnb
Needs,6sg284TefDkBpFh0317Agp,0.0314,0.78,0.42,1.48e-05,6.0,0.118,-9.218,0.0,0.1,99.024,4.0,0.0952,rnb
From A Woman,6x4z51Q0PBhSs8NoGbJ5wk,0.0354,0.291,0.376,2.04e-05,7.0,0.11,-11.91,1.0,0.0502,178.399,4.0,0.174,rnb
Love Language,1eIXYZWEfJO3Na2LCCnIJE,0.853,0.707,0.261,0.0,9.0,0.127,-10.139,0.0,0.0784,65.038,4.0,0.545,rnb
Young Rich & In Love,2R6tflIwv19qoYxg5hYLVh,0.313,0.637,0.452,0.00013,6.0,0.138,-8.28,0.0,0.0315,103.072,4.0,0.228,rnb
Waiting For You (feat. Naomi Sharon),6Dae6DNW72nLZ6KGyE7aeH,0.531,0.776,0.537,0.0316,10.0,0.111,-5.459,0.0,0.0406,82.02,4.0,0.586,rnb
Self,0J9uaeOd7GZi9MTybtqAD4,0.445,0.725,0.417,0.79,1.0,0.0834,-10.635,0.0,0.0976,151.947,4.0,0.975,rnb
Can I Call You Rose?,6IAuH3hgTRpUUdmOGubXGS,0.719,0.302,0.4,0.000621,0.0,0.172,-8.212,0.0,0.0364,180.852,3.0,0.421,rnb
Not An Angel,4hbadZZrbM08KZIQZomWaI,0.0106,0.628,0.652,0.00157,4.0,0.145,-6.065,0.0,0.0543,104.075,4.0,0.552,rnb
Feelings (feat. J Hus),13eNzMdXHUinoWsxcRXTCW,0.064,0.773,0.685,6.85e-06,5.0,0.113,-7.529,0.0,0.309,95.043,4.0,0.576,rnb
Water,4WzfrBu4t3LVv1BSKWugbW,0.0856,0.673,0.722,0.0,3.0,0.137,-3.495,0.0,0.0755,117.187,4.0,0.519,rnb
Sensational (feat. Davido & Lojay),44G2gUVQvNNZ6w3i05tR4n,0.101,0.774,0.609,0.0,6.0,0.117,-7.077,1.0,0.126,100.008,4.0,0.797,rnb
All or Nothing (feat. Ella Mai),4SPazIWgMqArA81XKxgDZa,0.368,0.653,0.517,2.03e-06,0.0,0.105,-6.27,0.0,0.0487,93.052,4.0,0.514,rnb
Through The Night (feat. Free Nationals),0lpo9c5J9uOZqMsXEei1gV,0.689,0.468,0.38,5.98e-05,1.0,0.114,-6.326,1.0,0.0309,129.897,3.0,0.406,rnb
Superpowers,736PP5LTtREkDgktNmX3Gu,0.614,0.501,0.445,0.0373,7.0,0.194,-9.117,1.0,0.0369,106.627,5.0,0.0549,rnb
Treasure In The Hills,64TJKMfx0QxpuR7rTXL05c,0.0155,0.693,0.503,0.00153,10.0,0.133,-3.647,1.0,0.0279,76.119,3.0,0.426,rnb
Moment Of Your Life (feat. Coco Jones),4mYSL3RDHto3rcl7I57ndv,0.611,0.762,0.48,0.0,10.0,0.0907,-6.595,0.0,0.0471,127.95,4.0,0.598,rnb
OUTTA CONTROL,6Vuas3LiStIwzv3iG2WZV3,0.242,0.836,0.598,2.89e-06,8.0,0.101,-5.829,1.0,0.448,159.997,4.0,0.908,rnb
Go Baby,3NiL2JcFIncyshy4KOKA73,0.928,0.574,0.176,0.437,8.0,0.119,-10.924,0.0,0.213,78.929,4.0,0.497,rnb
How Does It Make You Feel,3TLUPabatqnokgoZdfXUAV,0.355,0.456,0.511,0.000468,7.0,0.221,-8.685,1.0,0.0304,80.082,3.0,0.179,rnb
Greatest Gift (feat. Lila Iké),02DTkcgh0BpYrEYPO05Zex,0.0878,0.633,0.535,1.34e-05,7.0,0.0999,-6.577,0.0,0.189,170.013,4.0,0.718,rnb
WHITE CROCS (with Ryan Trey),0VNe1ZE8U2baB3JKZpEBok,0.617,0.648,0.43,0.000567,1.0,0.259,-9.594,1.0,0.0356,92.041,4.0,0.0788,rnb
Nothing On You,7u8fLctZzIhiiavPuXXwF7,0.131,0.559,0.571,1.7e-06,4.0,0.103,-5.32,0.0,0.0629,78.556,4.0,0.443,rnb
"Oh, Wait...",4AG0bAu5QvQacdyOhQLYqF,0.703,0.275,0.52,0.000562,0.0,0.095,-9.87,1.0,0.166,200.337,4.0,0.124,rnb
downtime,38bkkPgAZUCL6VgiswFFCU,0.184,0.559,0.872,1.34e-06,1.0,0.0918,-4.358,1.0,0.0756,146.115,4.0,0.549,rnb
Around The World,6UuztYLGwhpTsH0ploTJgm,0.0781,0.505,0.742,0.0,7.0,0.243,-5.287,0.0,0.0986,96.206,4.0,0.39,rnb
Little Blue Moon,3buMYqs28GrIx9T5rcl2we,0.616,0.637,0.455,0.0,7.0,0.0975,-9.245,1.0,0.0262,105.006,3.0,0.353,rnb
RASTA PASTA (ft. Masego),6jmc9xnc6QdM5x2Uj04T6m,0.703,0.611,0.383,0.000132,9.0,0.103,-11.771,0.0,0.118,78.018,4.0,0.415,rnb
Worth It.,7JgNAnCjJvL8hBR1kmCOFF,0.505,0.736,0.483,1.39e-05,8.0,0.351,-7.85,1.0,0.0682,109.932,4.0,0.606,rnb
White Tee - Acoustic,4GDgtRrv59oHpOXiiKaNMP,0.635,0.584,0.434,0.0,3.0,0.11,-8.473,0.0,0.0314,134.791,4.0,0.552,rnb
Anonymous,0nzrey7EGWju6WBndLkUFa,0.544,0.556,0.286,3.02e-05,0.0,0.107,-13.372,0.0,0.0769,127.837,4.0,0.287,rnb
Fine By Myself,6wPAtoGq4fvAHALzbgEjFP,0.494,0.636,0.667,0.0,9.0,0.197,-7.927,0.0,0.192,97.003,4.0,0.442,rnb
22,1QxTmNDHFmgaxgAolqqgAD,0.693,0.534,0.821,1.02e-05,5.0,0.078,-7.463,1.0,0.107,111.032,5.0,0.509,rnb
Tell Nobody,2tVDJV4m7XhHR1JO4DQQKR,0.0706,0.791,0.572,5.62e-06,1.0,0.0674,-9.795,1.0,0.0369,107.497,4.0,0.443,rnb
